,HFTA,AFTA,Total
GSW,300,259,559
OKC,267,229,496
TOR,274,216,490
CLE,248,210,458
MIA,147,151,298
POR,124,157,281
ATL,93,112,205
SAS,89,116,205
LAC,94,82,176
CHO,77,97,174
IND,77,90,167
HOU,61,76,137
BOS,70,56,126
DAL,52,69,121
DET,40,48,88
MEM,46,24,70
